,video_url,latitude,longitude
88,https://www.youtube.com/embed/XLON3BuR_YI,12.2345821,75.1514545
89,https://www.youtube.com/embed/b7Pqfh7Pqx4,9.5060136,76.6567669
90,https://www.youtube.com/embed/szU1_huZKF0,11.8696231,75.3671329
91,https://www.youtube.com/embed/-0wPhqb3cVc,10.9751601,75.8797306
93,https://www.youtube.com/embed/XyaseCBqJQ8,9.5638847,76.345944
94,https://www.youtube.com/embed/QoPTxvVs01U,9.970753,76.297661
95,https://www.youtube.com/embed/TFatf7jwCRc,9.52665,76.520988
96,https://www.youtube.com/embed/52s_GpIvcG4,8.5489367,76.8767883
97,https://www.youtube.com/embed/Sot-uyo-gUY,8.4445716,77.2307358
98,https://www.youtube.com/embed/o1JfclOSML0,10.0966015,76.809936
99,https://www.youtube.com/embed/nxfLayzCop8,8.4774239,76.944129
100,https://www.youtube.com/embed/5HiYXtsSSZg,9.7450735,76.2852705
101,https://www.youtube.com/embed/OPyW8m3tNW4,8.5512884,77.0906627
102,https://www.youtube.com/embed/SuogvPezSWQ,8.523225,76.9557036
103,https://www.youtube.com/embed/S_icpnYkkH0,9.0777171,76.5316261
104,https://www.youtube.com/embed/upYFE9drRUg,11.7356136,75.9624739
105,https://www.youtube.com/embed/umRsjggW2oU,11.73642,75.9056029
106,https://www.youtube.com/embed/dqFEFuq5ucw,9.9806529,76.277701
107,https://www.youtube.com/embed/zVU4BbAbBug,11.8039487,76.0020375
108,https://www.youtube.com/embed/1Smj5xkX6hc,9.9175213,76.3627142
109,https://www.youtube.com/embed/OUVdv3Mi4zM,10.7834309,75.9383629
110,https://www.youtube.com/embed/Tll16LMUlo0,10.0092586,76.3167371
111,https://www.youtube.com/embed/9Dwv4k8SWNY,9.9960519,76.3107649
112,https://www.youtube.com/embed/zMQkpkTdx3s,27.331186,88.5790941
113,https://www.youtube.com/embed/IdJTN3u92wQ,11.6207118,76.0889925
114,https://www.youtube.com/embed/-0Azj0WFaTk,12.3546522,76.6154779
115,https://www.youtube.com/embed/2dhfgrZdYBk,10.0454787,76.2598231
116,https://www.youtube.com/embed/nWL7j9-BLmQ,9.9554341,76.296206
118,https://www.youtube.com/embed/D-bYFnqZxx4,11.9358488,79.8302503
119,https://www.youtube.com/embed/FWI5JZ-H_I8,11.622141,76.031606
120,https://www.youtube.com/embed/FpsxpXZ8s8Q,9.1726434,79.4210672
121,https://www.youtube.com/embed/EwRtFEZWRLs,11.7329227,76.2450267
122,https://www.youtube.com/embed/I6_QyHU22cA,9.5908334,76.511135
123,https://www.youtube.com/embed/giCIJuB8K08,9.6085753,77.9377564
124,https://www.youtube.com/embed/c_3ZULUmfcw,8.8765524,76.6235755
125,https://www.youtube.com/embed/_IsYmcUpeIw,8.8780384,76.5959314
126,https://www.youtube.com/embed/IC0oFzfJWB0,8.9011612,76.6143791
127,https://www.youtube.com/embed/kKhPrSDolq0,9.3125151,76.4417929
128,https://www.youtube.com/embed/-qxfYVHWSsU,9.9489466,76.381472
129,https://www.youtube.com/embed/2kQOxCJcTUw,9.9521512,76.3421715
130,https://www.youtube.com/embed/-razrePHqFk,10.4468199,76.0914863
131,https://www.youtube.com/embed/Xmtba5HVnxk,10.5306848,76.2199276
132,https://www.youtube.com/embed/cf2kXm3MNak,8.5003732,76.9520717
133,https://www.youtube.com/embed/0w4CcJAd9JM,22.8734282,89.4914958
134,https://www.youtube.com/embed/nxVdENxcw1o,10.5375627,76.2150939
135,https://www.youtube.com/embed/A2X7BrGGrmw,8.4457149,77.2253952
136,https://www.youtube.com/embed/Sny5o02U6HU,8.5133716,76.9740795
