map_details,youtube_video_link
"('%E0%B4%A8%E0%B4%BE%E0%B4%9F%E0%B5%BB %E0%B4%8A%E0%B4%A3%E0%B5%8D%E2%80%8C %E0%B4%95%E0%B5%8A%E0%B4%9A%E0%B5%8D%E0%B4%9A%E0%B5%81%E0%B4%B5%E0%B5%86%E0%B4%B3%E0%B4%BF %E0%B4%95%E0%B4%B5%E0%B4%B2 %E0%B4%8E%E0%B4%B0%E0%B4%AE%E0%B4%B2%E0%B5%8D%E0%B4%B2%E0%B5%82%E0%B5%BC', 9.8342103, 76.3092166)",https://www.youtube.com/embed/Aj6q1sjGOck
"('QX6G%2B3CJ Island Hotel, Ayinichira, Kerala 679583', None, None)",https://www.youtube.com/embed/SaV1Bdp8Qls
"('Ila Restaurant (%E0%B4%87%E0%B4%B2 )', 10.1059901, 76.3578029)",https://www.youtube.com/embed/8URYQ2ooWuA
"('Padma Cafe', 9.6908026, 76.3387451)",https://www.youtube.com/embed/hMYfnedFxv8
"(""Pisharody's Restaurant"", 10.5212493, 76.2126749)",https://www.youtube.com/embed/Y4Uda6K3AQ8
"('H55C%2BM37 Krishna Holiday Village, Amalanagar, Thrissur, Kerala 680555', None, None)",https://www.youtube.com/embed/-5UrKbtMe4Y
"('No.32, Anugraha Anganvaadi, Madona Nagar, Ayyanthole, Thrissur, Kerala 680003', None, None)",https://www.youtube.com/embed/-DnyXH7ZMYQ
"(""Johnson's Hotel"", 9.7099799, 76.6791861)",https://www.youtube.com/embed/csWY-Fi14F0
"('Sree Krishna Hotel', 9.0553479, 76.5365128)",https://www.youtube.com/embed/nQVUCBLgMO4
"(""Kuttan's Tea shop Sholayur"", 11.0580018, 76.6975948)",https://www.youtube.com/embed/xoaoRRp47-M
"('Vinod Cafe', 9.6866971, 76.3376692)",https://www.youtube.com/embed/Fg00Ol1mCx4
"('Shivettende Kada - Seafood Restaurant', 10.1520868, 76.1751848)",https://www.youtube.com/embed/ItXRI6Ejoi8
"('Nirvana Holistic Living', 11.1098942, 76.7355724)",https://www.youtube.com/embed/yMOayuGXO8c
"('Thadikkaran Touchings', 10.1904449, 76.3870785)",https://www.youtube.com/embed/H9tQ9ZefPw4
"('Madhu Seafood Restaurant', 9.6721365, 76.3420992)",https://www.youtube.com/embed/w8wtPAdjK7o
"('Swargam', 9.8917758, 76.308368)",https://www.youtube.com/embed/GLRFir5wAnk
"('Good Morning Hotel', 8.483444, 76.9697561)",https://www.youtube.com/embed/FI_4pyIiAlY
"('Shree Karni Mataji Temple', 27.7909349, 73.3408256)",https://www.youtube.com/embed/K3mK17PZO7U
"('Mehfil Biriyani', 9.972446, 76.2862296)",https://www.youtube.com/embed/LZKVzSLWaH4
"('Madurai Thattu Dosai', 9.9838843, 76.3018736)",https://www.youtube.com/embed/qbnIXR2Z6vI
"(""9%C2%B058'02.1%22N 76%C2%B014'35.9%22E"", 9.9672501, 76.2411079)",https://www.youtube.com/embed/sPOVZ0R2A-c
"('Vilakkumaram Toddyshop And FaMiLy ReStauranT', 9.6843807, 76.4612765)",https://www.youtube.com/embed/b1vathIy2q0
"('Oru Dosa Company ODC', 9.4859567, 76.337913)",https://www.youtube.com/embed/3k9TbXw531I
"('IYARKAI NATTUKOZHI VIRUNTHU', 11.160328, 77.051456)",https://www.youtube.com/embed/JdkZ4Y4-tZA
"('Fresh Catch Seafood Restaurant', 12.3270118, 76.6274214)",https://www.youtube.com/embed/vDSYvR0VaWA
"('sree krishna hotel', 11.7448698, 75.4918946)",https://www.youtube.com/embed/cu3EaWXRx5s
"('Hotel New Geetha Bhavan', 11.2763535, 75.7787163)",https://www.youtube.com/embed/HpASvNH_hP4
"('Ghee Roastery', 11.2602169, 75.7690876)",https://www.youtube.com/embed/8W_lNYSyP60
"('Hotel Lisy', 11.3016429, 75.86139)",https://www.youtube.com/embed/lGY2mDSybko
"('Edele Hotel', 11.2455214, 75.7755834)",https://www.youtube.com/embed/M-OeEufGAro
"('PESCOPA', 11.2650821, 75.7876275)",https://www.youtube.com/embed/cIWLMFXX-xk
"('Idam Restuarant ( %E0%B4%87%E0%B4%9F%E0%B4%82 )', 10.2744004, 76.1734689)",https://www.youtube.com/embed/2DpQWb1Dk6Q
"('Aatumukham Restaurant %26 Toddy Shop', 9.4636261, 76.3906321)",https://www.youtube.com/embed/hoKXGtH8oOE
"('Raghu chettante kada%2FThanima', 10.3070802, 76.3365398)",https://www.youtube.com/embed/tnVxbqoMGS8
"('Natures Loft', 9.6267262, 77.1643533)",https://www.youtube.com/embed/64sWIbwM4Zw
"('Urula restaurant', 9.9850637, 76.2915096)",https://www.youtube.com/embed/PBhIauHQiUY
"('MM Meen Kadai', 11.6564864, 77.7643543)",https://www.youtube.com/embed/cPxhgQyWvIc
"('Gordhan Thal', 23.0359337, 72.5111681)",https://www.youtube.com/embed/aO7ALYxWvgE
"('Urbanpod Hotel', 18.9694696, 72.8194276)",https://www.youtube.com/embed/PP3EmTR3dhs
"('Gowdara Mudde Mane', 12.8828635, 77.5463697)",https://www.youtube.com/embed/kxnO-99edEU
"('Domaine Sula', 12.6171568, 77.1700946)",https://www.youtube.com/embed/u8l5vZ4-H0Q
"('Pillai Mess Mutton Biryani Hotel', 13.0092458, 76.0960953)",https://www.youtube.com/embed/GHfRJWG95OA
"('Macchhi', 12.8633249, 74.8460805)",https://www.youtube.com/embed/g7ldMQ4W7SQ
"(""Pereira's Restaurant"", 12.8668457, 74.7707198)",https://www.youtube.com/embed/NWE8UI25n6A
"(""Ravi's Maicha Hotel"", 12.2345821, 75.1514545)",https://www.youtube.com/embed/XLON3BuR_YI
"('St. John the Baptist Syro Malabar Church', 9.5060136, 76.6567669)",https://www.youtube.com/embed/b7Pqfh7Pqx4
"('Hotel Soft', 11.8696231, 75.3671329)",https://www.youtube.com/embed/szU1_huZKF0
"('Hotel Karthyayani, Nalla nadan food!!', 10.9751601, 75.8797306)",https://www.youtube.com/embed/-0wPhqb3cVc
"('JCJH%2BC2C Sree Sakteeswaram Temple, SH42, Kavanattinkara, Kumarakom, Kerala 686563', None, None)",https://www.youtube.com/embed/dHq7eOjFr08
"('Juice Kada', 9.5638847, 76.345944)",https://www.youtube.com/embed/XyaseCBqJQ8
"('Fusion Soda', 9.970753, 76.297661)",https://www.youtube.com/embed/QoPTxvVs01U
"('Biriyani Palace', 9.52665, 76.520988)",https://www.youtube.com/embed/TFatf7jwCRc
